解算X	解算Y	原始X	原始Y	误差X	误差Y
166.98	99.002	165.125	97	-1.85479	-2.002
485.125	103.102	485.625	103.125	0.499528	0.0226769
801.788	104.689	801.625	104.5	-0.162661	-0.189288
960.081	107.532	960.5	106.125	0.419372	-1.40737
1115.52	108.661	1114.37	107.994	-1.15221	-0.666551
1275.11	109.195	1273.75	108.125	-1.36132	-1.0697
1431.95	110.081	1430.88	110.625	-1.07251	0.543717
1588.37	111.511	1586.5	112.117	-1.86534	0.606345
1744.48	112.112	1742.5	112.25	-1.98404	0.137818
84.3566	2105.15	88.5	2103.13	4.14342	-2.02459
218.821	2104.38	222.125	2101.5	3.30389	-2.87557
352.752	2103.84	355.625	2100.5	2.87315	-3.33849
486.826	2103.45	488.625	2100.88	1.79905	-2.57454
620.414	2103	621.756	2100.73	1.34232	-2.26834
754.209	2103.07	754.375	2100.85	0.165779	-2.21732
887.688	2102.96	887.792	2100.87	0.104338	-2.09512
1020.95	2102.88	1020.75	2101	-0.198701	-1.87637
1153.94	2102.87	1152.71	2101.09	-1.23025	-1.77626
1286.97	2103.24	1285.38	2100.75	-1.59617	-2.49378
1419.56	2103.53	1417.13	2100.88	-2.43622	-2.65388
1552.09	2103.71	1548.75	2100.88	-3.33752	-2.83145
1684.13	2104.03	1679.88	2100.63	-4.25215	-3.40516
77.4437	1436.19	81.375	1436.5	3.9313	0.311257
212.484	1436.96	214.5	1437.38	2.01633	0.414057
347.101	1437.3	348.375	1438.13	1.27366	0.821089
482.065	1437.55	481.875	1438.75	-0.190139	1.20374
616.707	1437.89	616.789	1439.21	0.0823299	1.31639
751.507	1438.23	751.125	1439.25	-0.382159	1.01638
885.459	1438.57	885.75	1440.25	0.29138	1.67504
1153.8	1439.79	1155.13	1441	1.32397	1.21307
1287.48	1440.34	1288.88	1441.38	1.39606	1.03808
1421.25	1441.2	1423	1442.13	1.747	0.920798
1554.51	1441.44	1555.39	1441.63	0.887804	0.195732
1687.1	1441.87	1687.41	1442.15	0.310146	0.276632
75.7439	1102.87	79.125	1104	3.38105	1.13283
211.824	1103.54	213.875	1104.13	2.05068	0.58354
346.892	1104.14	347.093	1104.34	0.200922	0.200749
482.186	1104.6	481.875	1104.75	-0.311228	0.149683
617.251	1105.14	616.062	1104.84	-1.18882	-0.295576
751.995	1105.73	751.261	1105.09	-0.734215	-0.645761
886.553	1106.05	886.375	1105.13	-0.177513	-0.922323
1020.84	1106.49	1021.75	1105.38	0.90804	-1.11714
1154.94	1106.75	1155.95	1105.72	1.01331	-1.02616
1288.84	1107	1291.13	1106.5	2.28843	-0.50351
1422.58	1107.43	1423.88	1106.57	1.30334	-0.866825
1556.37	1107.51	1557.38	1106.88	1.00437	-0.630701
1689.79	1107.95	1689.88	1107.5	0.0805142	-0.45148
77.0343	760.102	80.5	762.75	3.46567	2.64834
213.295	760.484	215.622	762.114	2.3271	1.62955
349.049	760.296	350.294	761.901	1.24457	1.60506
484.908	762.035	485.25	762.625	0.341846	0.589547
620.53	762.887	620.307	762.023	-0.22333	-0.863604
755.859	764.074	755.43	762.761	-0.429076	-1.31321
891.059	765.403	890.952	763.704	-0.106862	-1.69896
1025.84	766.622	1026.02	764.743	0.183432	-1.87866
1160.63	768.155	1160.88	767.125	0.245356	-1.0304
